"text","tipo","sensibile"
"I have a problem in the expiration because i have abronchial asthma",1,1
"Every time I make an effort I felt dizzy",1,0
"I have a powerful pain inside my neck",1,0
"I have a pain internal",1,0
"chronic disease of hair follicles and sebaceous glands",1,1
"I feel a huge emotional pain after I broke up with my girlfriend",1,0
"When I stand up too quickly I start to feel dizzy and lightheaded",1,0
"I often get a sharp pain in my chest and I cant tell what Im doing that might be triggering it",1,0
"I have a feeling like my whole body is complaining",1,0
"My knee hurts when I play squash",1,1
"i cant see well",1,0
"I tried alot of cream but i still feel the same skin problem",1,0
"It feels like someone stuck a knife into my shoulder",1,0
"I feel a burning sensation in my shoulder muscle",1,0
"I cut my foot at the pool and it breaks open every day when I walk on it",1,1
"My knee catches and hurts when I first stand up after sitting",1,0
"I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream its not getting better",1,0
"I feel pain in my shoulders when I write on the keyboard",1,0
"i have a problem in seeing objects it is too difficult to see",1,0
"glass broken and wound my leg badly the wound is so wide",1,0
"I have a blurry vision during my swimming training in the pool why",1,1
"I love to walk and be outside but the bottoms of my feet get sore so quickly",1,0
"I feel pain in my knee when I climb the stairs",1,0
"I get tired too fast I can barely put on my clothes in the morning",1,0
"My knee hurts when I walk",1,0
"i cant rotate my neck",1,0
"My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected",1,0
"i have a problem in my back i cannot extend it",1,0
"I cant walk because i have a great foot ache",1,0
"My heart is beating fast and it scares me",1,0
"I used to have acne when I was 15 years old",1,1
"My muscles in my lower back are aching",1,0
"My shoulder muscle hurts when I try to reach up",1,0
"I feel heart pain when I walk a lot",1,0
"My hair is falling out in huge amount",1,0
"I feel a pain in my back",1,0
"My skin is itchy and inflamed",1,0
"i cant see well",1,0
"I have a cold and it makes me cough alot",1,0
"I have a dry throat",1,0
"Im not hearing well I have problem with my ear",1,0
"My foot is hurting so much",1,0
"My shower drain is full of hair every time",1,0
"I have front head pain and when I get it the light bothers me",1,0
"Even though Im an adult my face keeps breaking out in pimples",1,0
"When I get out of bed in the morning my body feels very weak",1,0
"My knee catches and hurts when I first stand up after sitting",1,0
"surgical wounds red firing pus painful and hot to the touch",1,1
"Feel like something is being jabbed into my joints",1,0
"The arches of my feet hurt when I wear heels",1,0
"I feel pain in the lower back",1,0
"I have a dull ache in my head",1,0
"The arches of my feet hurt when I wear heels",1,0
"I feel a pain in my neck",1,0
"A 23yearold white female presents with complaint of allergies",1,0
"Consult for laparoscopic gastric bypass",1,1
"Consult for laparoscopic gastric bypass",1,1
"2D MMode Doppler",1,0
"2D Echocardiogram",1,0
"Morbid obesity  Laparoscopic antecolic antegastric RouxenY gastric bypass with EEA anastomosis  This is a 30yearold female who has been overweight for many years  She has tried many different diets but is unsuccessful",1,1
"Liposuction of the supraumbilical abdomen revision of right breast reconstruction excision of soft tissue fullness of the lateral abdomen and flankn",1,1
"2D Echocardiogram",1,0
"Suctionassisted lipectomy  lipodystrophy of the abdomen and thighs",1,1
"Echocardiogram and Doppler",1,0
"Morbid obesity  Laparoscopic RouxenY gastric bypass antecolic antegastric with 25mm EEA anastamosis esophagogastroduodenoscopy",1,1
"Normal left ventricle moderate biatrial enlargement and mild tricuspid regurgitation but only mild increase in right heart pressures",1,1
"Cerebral Angiogram  moyamoya disease",1,1
"Patient presented to the bariatric surgery service for consideration of laparoscopic roux en Y gastric bypass surgery",1,1
"Surgical removal of completely bony impacted teeth 1 16 17 and 32  Completely bony impacted teeth 1 16 17 and 32",1,1
"Preoperative visit for weight management with laparoscopic gastric banding",1,1
"Neck exploration tracheostomy urgent flexible bronchoscopy via tracheostomy site removal of foreign body tracheal metallic stent material dilation distal trachea placement of 8 Shiley single cannula tracheostomy tube",1,1
"Patient status post lap band placement",1,0
"Fertile male with completed family  Elective male sterilization via bilateral vasectomy",1,1
"The patient is a 17yearold female who presents to the emergency room with foreign body and airway compromise and was taken to the operating room  She was intubated and fishbone",1,1
"Whole body radionuclide bone scan due to prostate cancer",1,1
"Patient discharged after laparoscopic RouxenY gastric bypass",1,1
"Normal vasectomy",1,0
"Voluntary sterility  Bilateral vasectomy  The vas deferens was grasped with a vas clamp  Next the vas deferens was skeletonized  It was clipped proximally and distally twice",1,1
"Blood in urine  Transitional cell cancer of the bladder",1,1
"Normal vasectomy",1,0
"Hispanic male patient was admitted because of enlarged prostate and symptoms of bladder neck obstruction",1,1
"Umbilical hernia repair template  The umbilical hernia carefully reduced back into the cavity and the fascia was closed with interrupted vertical mattress sutures to approximate the fascia",1,1
"Vasectomy 10 years ago failed  Azoospermic  Reversal two years ago  Interested in sperm harvesting and cryopreservation",1,1
"Desire for sterility  Vasectomy  The vas was identified skin was incised and no scalpel instruments were used to dissect out the vas",1,1
"The patient noted for improving retention of urine postop vaginal reconstruction very concerned of possible vaginal prolapse",1,1
"This is a 66yearold male with signs and symptoms of benign prostatic hypertrophy who has had recurrent urinary retention since his kidney transplant  He passed his fill and pull study and was thought to selfcatheterize in the event that he does incur urinary retention again",1,1
"Right distal ureteral calculus  The patient had hematuria and a CT urogram showing a 1 cm nonobstructing calcification in the right distal ureter  He had a KUB also showing a teardrop shaped calcification apparently in the right lower ureter",1,1
"Umbilical hernia repair A standard curvilinear umbilical incision was made and dissection was carried down to the hernia sac using a combination of Metzenbaum scissors and Bovie electrocautery",1,1
"Persistent frequency and urgency in a patient with a history of neurogenic bladder and history of stroke",1,1
"Ultrasound examination of the scrotum due to scrotal pain  Duplex and color flow imaging as well as real time grayscale imaging of the scrotum and testicles was performed",1,1
"Transurethral resection of a medium bladder tumor TURBT left lateral wall",1,1
"Transurethral electrosurgical resection of the prostate for benign prostatic hyperplasia",1,1
"Transurethral resection of the bladder tumor TURBT large",1,1
"The patient has a possibly torsion detorsion versus other acute testicular problem",1,1
"Cystoscopy transurethral resection of medium bladder tumor 40 cm in diameter and direct bladder biopsy",1,1
"Left spermatocelectomyepididymectomy and bilateral partial vasectomy  Left spermatocele and family planning",1,1
"Left testicular swelling for one day  Testicular Ultrasound  Hypervascularity of the left epididymis compatible with left epididymitis  Bilateral hydroceles",1,1
"Salvage cystectomy very difficult due to postradical prostatectomy and postradiation therapy to the pelvis Indiana pouch continent cutaneous diversion and omental pedicle flap to the pelvis",1,1
"Spermatocelectomy and orchidopexy",1,0
"SPARC suburethral sling due to stress urinary incontinence",1,1
"Left scrotal exploration with detorsion  Already detorsed bilateral testes fixation and bilateral appendix testes cautery",1,1
"Cystoscopy under anesthesia retrograde and antegrade pyeloureteroscopy left ureteropelvic junction obstruction difficult and open renal biopsy",1,1
"Radical retropubic prostatectomy robotic assisted and bladder suspension  Adenocarcinoma of the prostate",1,1
"A 16monthold with history of penile swelling for 4 days had circumcision 1 week ago",1,1
"Radical retropubic prostatectomy with pelvic lymph node dissection due to prostate cancer",1,1
"Radical retropubic nervesparing prostatectomy without lymph node dissection",1,1
"A 65yearold man with chronic prostatitis returns for recheck",1,1
"Adenocarcinoma of the prostate Erectile dysfunction  History  Physical",1,1
"Prostate Brachytherapy  Prostate I125 Implantation",1,0
"Right ureteropelvic junction obstruction  Roboticassisted pyeloplasty anterograde right ureteral stent placement transposition of anterior crossing vessels on the right and nephrolithotomy",1,1
"Cystourethroscopy right retrograde pyelogram and right doubleJ stent placement 22 x 45 mm  Right ureteropelvic junction calculus",1,1
"Open radical retropubic prostatectomy with bilateral lymph node dissection",1,1
"The patient returns for followup evaluation 21 months after undergoing prostate fossa irradiation for recurrent Gleason 8 adenocarcinoma    Concerning slow ongoing rise in PSA",1,1
"Prostate gland showing moderately differentiated infiltrating adenocarcinoma  Excised prostate including capsule pelvic lymph nodes seminal vesicles and small portion of bladder neck",1,1
"Moderately differentiated adenocarcinoma 1 enlarged prostate with normal seminal vesicles",1,1
"Patient presents to the Emergency Department with complaint of a bleeding bump on his penis",1,0
"Explantation of inflatable penile prosthesis and then placement of second inflatable penile prosthesis AMS700  Nonfunctioning inflatable penile prosthesis and Peyronies disease",1,1
"Excision of penile skin bridges about 2 cm in size",1,1
"Adenocarcinoma of the prostate  The patient underwent a transrectal ultrasound and biopsy and was found to have a Gleason 34 for a score of 7 20 of the tissue removed from the left base",1,1
"Complete urinary obstruction underwent a transurethral resection of the prostate  adenocarcinoma of the prostate",1,1
"Moderate to poorly differentiated adenocarcinoma in the right lobe and poorly differentiated tubular adenocarcinoma in the left lobe of prostate",1,1
"Penile discharge infectedlooking glans  A 67yearold male with multiple comorbidities with penile discharge and paleappearing glans It seems that the patient has had multiple catheterizations recently and has history of peripheral vascular disease",1,1
"Penile injury and continuous bleeding from a penile laceration",1,1
"The patient is a 16monthold boy who had a circumcision performed approximately 4 days before he developed penile swelling and fever and discharge",1,1
"He continues to have abdominal pain and he had a diuretic renal scan which indicates no evidence of obstruction and good differential function bilaterally",1,1
"Prostate adenocarcinoma and erectile dysfunction  Pathology report",1,1
"Right undescended testicle  Orchiopexy  Herniorrhaphy",1,1
"Overactive bladder with microscopic hematuria",1,1
"Reduction of paraphimosis",1,1
"Left inguinal hernia repair left orchiopexy with 025 Marcaine ilioinguinal nerve block and wound block at 05 Marcaine plain",1,1
"Right orchiopexy and right inguinal hernia repair",1,1
"Bilateral orchiopexy  This 8yearold boy has been found to have a left inguinally situated undescended testes  Ultrasound showed metastasis to be high in the left inguinal canal  The right testis is located in the right inguinal canal on ultrasound and apparently ultrasound could not be displaced into the right hemiscrotum",1,1
"Examination under anesthesia diagnostic laparoscopy right orchiectomy and left testis fixation",1,1
"Orchiopexy  inguinal herniorrhaphy",1,1
"Bilateral scrotal orchiectomy",1,1
"A 6mm left intrarenal stone nonobstructing by ultrasound and IVP",1,1
"Stage I and II neuromodulator",1,0
"Minilaparotomy radical retropubic prostatectomy with bilateral pelvic lymph node dissection with Cavermap  Adenocarcinoma of the prostate",1,1
"An exampletemplate for meatotomy",1,0
"Neurogenic bladder in a patient catheterizing himself 3 times a day changing his catheter 3 times a week",1,1
"Left orchiectomy scrotal exploration right orchidopexy",1,1
"Left orchiopexy  Ectopic left testis   The patient did have an MRI which confirmed ectopic testis located near the pubic tubercle",1,1
"Examination under anesthesia and laparoscopic right orchiopexy",1,1
"An exampletemplate for meatoplasty",1,0
"Laparoscopic lysis of adhesions attempted laparoscopic pyeloplasty and open laparoscopic pyeloplasty  Right ureteropelvic junction obstruction severe intraabdominal adhesions and retroperitoneal fibrosis",1,1
"Bassini inguinal herniorrhaphy  A standard inguinal incision was made and dissection was carried down to the external oblique aponeurosis using a combination of Metzenbaum scissors and Bovie electrocautery",1,1
"Laparoscopic right inguinal herniorrhaphy with mesh as well as a circumcision   Recurrent right inguinal hernia as well as phimosis",1,1
"Left inguinal herniorrhaphy modified Bassini  Left inguinal hernia direct",1,1
"Cystopyelogram and laser vaporization of the prostate",1,0
"Direct inguinal hernia  Rutkow direct inguinal herniorrhaphy  A standard inguinal incision was made and dissection was carried down to the external oblique aponeurosis using a combination of Metzenbaum scissors and Bovie electrocautery",1,1
"Inguinal herniorrhaphy  A standard inguinal incision was made and dissection was carried down to the external oblique aponeurosis using a combination of Metzenbaum scissors and Bovie electrocautery",1,1
"Inguinal orchiopexy procedure",1,0
"Bilateral inguinal hernia  Bilateral direct inguinal hernia repair utilizing PHS system and placement of OnQ pain pump",1,1
"Direct right inguinal hernia  Marlex repair of right inguinal hernia",1,1
"My latimesopinion oped on historic California Senate race First time an elected woman senator succeeds anothernhttpstcocbjQTK0Q1V",0,0
"Senate Wisconsin Senate Preview Johnson vs Feingold The Sequel httpstcoXHq4p0V4El SenRonJohnson",0,0
"If Rubio Wins and Trump Loses in Florida HillaryClinton Senate RepublicanPrimary Senaterace Miami httpstcozIeNEcVnMO",0,0
"Senate Wisconsin Senate Preview Johnson vs Feingold The Sequel httpstcoVSd6arFMe5 SenRonJohnson NTA•NEWS",0,0
"bob day is an honest  person   senate patterson  a loss to the senate",0,1
"Make Republicans PayAPricen 💙🇺🇸VoteBLUE🔃theBallot🇺🇸💙n Congress Senate FlipItDem n    ImWithHer VoteHillary… httpstcopC8I2pemse",0,1
"Shes done America Please vote for realDonaldTrump MAGA for all of us httpstcoZ9nXcBaK9D",0,1
"Illinois Senate StrongerTogether httpstcoNxyi2PptNA",0,0
"Senate Sen Mark Warner to speak at ODU for Veterans Day Event httpstcoO1cftpz59e MarkWarner",0,0
"Senate Sen Mark Warner to speak at ODU for Veterans Day Event httpstcoG6twWYUnQf MarkWarner NTA•NEWS",0,0
"TammyforIL Sen Kirk has failed the ppl of IL Tammy will NOT TammyDuckworth Senate",0,0
"Hattip to PeterRobinson for adding my Senate take to Ricochet Join the site  best investment youll makenhttpstco8TSSZe5UjX",0,0
"OHIO VoteHillary OHHillYes ComeOnn💙🇺🇸VoteBLUE🔃theBallot🇺🇸💙Congress UndecidedVoters Senaten🙌❤… httpstcondwomSahdO",0,1
"Senate Russia will face IMMEDIATE CONSEQUENCES if Moscow disrupts US election senator warns httpstcoaHmxuVUTiR MarcoRubio",0,0
"Owwww Bet Putin is shivering in his boots httpstco2xM8RHnWWN",0,0
"Senate US Senator Claire McCaskill Theres no excuse to check out of democracy ahead of Election 2016 httpstcoLUS90eu9XT clairecmc",0,0
"Senate Russia will face IMMEDIATE CONSEQUENCES if Moscow disrupts US election senator warns httpstcohcnnicaaWM MarcoRubio NTA•NEWS",0,0
"Senate US Senator Claire McCaskill Theres no excuse to check out of democracy ahead of Election 2016 httpstcofDw1bxcWn8 clairecm…",0,0
"Lets make hist by winning senate amp make SenatorSchumer 1st Jewish MajorityLeader vote DeborahRossNC  NorthCarolina StrongerTogether",0,1
"Buhari To Declare NASS AntiCorruption Seminar Open httpstco43SoilJymd NASS Nigeria PresidentBuhari Senate",0,0
"ASISAbuja2016 ReportersAtLarge Buhari To Declare NASS AntiCorruption Seminar Open httpstcool7kEXG1Si NAS… httpstcojV1PuM5UYp",0,0
"Its Election Day 2016 EST VOTE ClintonKaine2016 Senate Democrats BlueWave2016 ForwardTogether LoveTrumpsHate httpstcospimPvLY0g",0,1
"1171983A bomb explodes in the north wing of the USCapitol httpstcoyVGJtRrIHh Senate ResistanceConspiracy httpstcoeFMjGLsPMh",0,0
"I voted early in maryland  I voted for ChrisVanHollen for the Senate  Vote on Tuesday Dont forget the… httpstcoaDeosi0REt",0,1
"Coalitions backpackertax plans in disarray as Senate opposition firms ABCRural httpstcor0yc2uiZEP auspol",0,0
"Even if Hillary wins nothing will change unless the Democrats take back the Senate VOTE",0,0
"Oh God I hope so We need a DEM SENATE httpstcoQNDftsKvlN",0,1
"so since MY GOAL for you all I will now EXPLAIN THE PROCESS so the 1st guy you need to know about isPRESIDENT of the SENATE",0,0
"ElectionPredictions  Elections Senate Predictions on all of money Intrade 2… httpstcoIJayyl8xwX httpstconK6t09sVX0",0,0
"ElectionPredictions 2016 Us Senate Elections Predictions Buy things about Election … httpstcoIJayyl8xwX httpstcoibWf68eP0c",0,0
"ElectionPredictions 2014 Senate Election Predictions Map Buy things about Election … httpstcoIJayyl8xwX httpstco2eoC5OYxsy",0,0
"ElectionPredictions 2016 Senate Election Predictions Map  Autos Post Buy things … httpstcoIJayyl8xwX httpstco7dPoacnvX7",0,0
"Senate Republicans are acting as though the Supreme Court is the property of the Republican PartynhttpstcoqF4MRbrkPenNot so",0,0
"Im not sure if I have any left leaning friends in North Carolina but if I do PLEASE get to the polls Senate Vote",0,0
"PREZ of senate SHALL in PRESENCE of HOUSEand SENATEopen ALLCERTIFICATES and VOTES SHALL THEN stand up and BECOUNTED person HAVING",0,0
"Lets go Democrats we need Senate amp House we can do it We need 2 Vote UpampDown ballot Democrats We have moore… httpstcoWBUGkV3b3s",0,1
"Senate Barbara Boxer is about to be replaced in Washington — will it matter httpstco30Lzp9r0Yh SenatorBoxer",0,0
"Senate Barbara Boxer is about to be replaced in Washington — will it matter httpstcoQKKDhWdLWd SenatorBoxer NTA•NEWS",0,0
"Vote if you havent yet for Pres Elect HillaryClinton and give her a thoughtfulconstructive Blue Senate to work with ClintonKaine",0,1
"NOEXCUSES VOTE2016nHillaryClintonforpresident ImWitHer PresidentialElection Senate HouseofRepresentatives",0,1
"2016 Budget Senate expresses shock over release of only N74m for job creation httpstcoveqglsf12U nigeria",0,0
"Senate Feingold Johnson in Oshkosh on final full day of campaign httpstcoX9wc4jpD4R SenRonJohnson",0,0
"There is one wild scenario where Congress could pick the next President and one contender could be a Mormon named httpstcoBSST1gY61U
",0,1
"HillaryClinton We will use our NASTY FEET to VOTE tomorrownAND We MUST give OUR President a Congress WILLING TO DO THEIR JOBSVoteALLBlue",0,1
"Clinton buying votes with celebrity concerts  She cant do this without celebrities dragging her across finish No… httpstcoF51n2RQrIn",0,1
"MrRobertFlores Trump lied to Congress that he wasnt meeting with any Indian casino executives when documents amp sworn statements show he was",0,1
"VOTE BLUEa red Congress will just be obstruction again
",0,1
"Dozens amp dozens amp dozens of reasons not to vote for Trump being Tweeted today by top reporter kurteichenwald sta… httpstcosqos4DDTWV",0,1
"HillaryClinton if you believe Christianity has to change that lying to Congress is ok and that people shouldnt be able to own guns",0,1
"Please vote Take back Congress from those lazy ass Republicans And Democrats let us be better than just fundraising Public service first",0,1
"V🔵TE🔹BLUE✅MUST WINnMI02🔷Dennis MURPHYn4 CONGRESS🔹FlipItDemnDMurphyCongressnFLIP🔷HOUSE🔷BLUEnMadame POTUS🔹Dem Majo… httpstcotvyr6c4gTe",0,1
"If Hillary wins we will have the first Jewish leader in Congress I love Jewish leaders Just sayin",0,1
"WillIbekwe markwalkguy AnnCoulternnHey I didnt vote on the First Acts of Congress The first Americans did httpstcoYxNTO8YmOb",0,1
"Im voting Yaas on WA initiative 735 calling for Congress to overturn Citizens United w a constitutional amendmen… httpstcoWXNvjs1OdS",0,1
"Imagine if haters acknowledged Barack Obama is a practicing Christian born in Hawaii amp the GOP Congress did their… httpstcom0QX9VHQLq",0,1
"Dear establishment If youve been in Congress since before the internet  GET OUT nnTrumpPence16 httpstcop0UjhsR0To",0,1
"POLITICO says Democrats are on the BRINK OF TAKING BACK THE SENATE Lets make it happen VoteBLUE HILLARY SENATE HOUSE STATE LOCAL",0,1
"And with that vote you will get two more years of NO We need a congress willing to work across the isle That beli… httpstcotTTAHqgAUc",0,1
"100 yrs ago today the 1st woman was elected to Congress Lets make history again tomorrow by electing our 1st female president ImWithHer",0,1
"ImVotingBecause Hillary has been in Congress for 30 years and has accomplished nothing",0,1
"ImVotingBecause the clintons stand for whatever keeps them in power DrainTheSwamp CrookedHillary… httpstcoj64Fs4aE4D",0,1
"JenseAaron politico when Republicans in congress say they support first responders remember they voted no for the 911 health care bill",0,1
"RituRathaur Arun Jaitley is the only man capable of punishing Congress ampfraud media like NDTV 🙏🙏🙏  RitaG74",0,1
"Vote KathyforMD TODAY MARYLANDnMDsen ntcot ccot sgp httpstcohIryvprElo",0,1
"Take ActionTell Congress IMPEACH Hillary Clinton amp Disqualify her from Holding Office httpstco7cNoFCqgOHnHillaryForPrisonnHillNo",0,1
"Rockthahouse1 We have a Republican Congress he cant do anything lol",0,1
"SaifQuadri Ideally Hillary winning the presidency is the least of it The left regaining control of Congress  a liberal justice  great",0,1
"If congress says please dont talk to the leader of Japan like that trump gonna fuck yell at that nigga and make… httpstcom58IGQbPbN",0,1
"Good luck 2 the 191 lgbt candidates up for election 2 the US Senate amp US House and other offices  today USElections2016 LGBTconstruct",0,1
"realDonaldTrump FRAUD FRAUD FRAUD ELECTIONS ARE RIGGED httpstcoA9UMbUYJv8 FBI sputnik AFP NYT MAGA… httpstcoktymjGmVwx",0,1
"im angry abt the candidates my state has to offer for Congress and Senate and im angry that i have to vote for a party ugh o hate this",0,1
"ImVotingBecause I care about donuts httpstcoHUCSEQtG9o ADHDvotes  senate congress",0,1
"WakeUpAmericaTrump2016VeteransHialeahMiamiMakeAmericaGreatAgaintcotMAGASENATENYTCubaBREXIT… httpstcoyLnWLgrqfO",0,1
"We should learn from the past and prepare for the futurennTheUnofficialGazette Bills Laws Senate httpstcoW0giKl4uPd",0,1
"V🔵TE🔹BLUE🔹IOWAnIA 04 💙KIM WEAVERn4🔹CONGRESS🔹FlipItDemnKimWeaver ✅A MUST WINnFLIP 💙HOUSE 💙BLUEnMadame POTUS🔹Dem Ma… httpstcoF1Px7O0lxa",0,1
"Florida We need to elect HillaryClinton president amp CharlieCrist for Congress end the gridlock in DC… httpstcoBIZjUclkFj",0,1
"If Clinton wins and Republicans control Congress will she be a lame duck presidentListen BillGalston RNBreakfast httpstcoz8s9vB59cL",0,1
"KFILE TheBaxterBean Republicans will be at hologram never should NOT ever be another Republican led Congress and Senate freaking again‼️",0,1
"News from Jim Oberweis  For  US Senate  Illinois is out Lets not regret our vote fire Dick Durbin httpstconAdwkaJZ2l teaparty",0,1
"Hillary will need to have a congress to work with her vote BLUE DOWN BALLOT Time to FINISH THIS amp MAKE OUR COUNTRY HEAL",0,1
"ImVotingBecause Hillary lied to Congress",0,1
"Hey friends Its ItsElectionDay lets get something done vote Hillary amp Dem straight d OK em the Senate we cant Cong but we can Sen",0,1
"Which Candidate Will Help Us Pass Mental Health Reform RepTimMurphyWho Has YOUR VoteNAMICommunicate… httpstcoLZi9dsdLvA",0,1
"Bozmanbeyond Vote for American energy fixing America’s water amp environmental infrastructurelimit members of Congress repeal Obama care22",0,1
"Tomorrow  will be a day of reconning for the GOP TRUMP WILL FAIL but how much will they lose in congress",0,1
"WhiteHouse KevinDarryl Our 1stBlack president did the heavy lifting while his congress ignored our major problemsabasingobstructing him",0,1
"The Dems Need Congress Back My Son Bernie Need To Run Shit And The Reps Acted like petty Kids For 8 Years",0,1
"I dont think so Congress is much more important than the President httpstcoEMVtU5f347",0,1
"Why cant Dr Karan Singh 49 yr experience be the President of Congress Party why only Rahul Gandhi to be elevate… httpstco8erA5fU4M7",0,1
"timanderson87 But I definitely see your point about 3rd Party candidates and only real viable goal for a Red CongressHillary indictment",0,1
"sarahjanet I believe — but could be wrong — we have to convene a constitutional congress to modify CA state constitution",0,1
"fuck this election man both of them are trash anyway its not like they can do shit anyway theyre not congress",0,1
"I love his wife shes a wonderful woman amp  hes a great man Vote  for Marty httpstcoUVgetQssQZ",0,1
"UT literally could force Congress to vote for the president amp since most of them hate Trump we could see a Trump loss thanks to UT",0,1
"NateSilver538 Reps will win Congress senate and presidency Obama and Clinton have turned liberals into apathy",0,1
"WakeUpAmericaTrump2016VeteransHialeahMiamiDebateSenateflsentcotMAGASputnikNYTCNNCuba… httpstcoFEdQfP1AJu",0,1
"Defamation of Hindu Saints Congress planned to destroy Ram Setu Hindus get UNITED else suffer HinduSaintsAtTarget httpstcoVSkXysLYZt",0,1
"Imagine if Congress had waaaay less power and we made them repeal a ton of bad laws",0,1
"bambamhood If Brandon Hood gets elected for Congress hell rectify the bipartisan political system",0,1
"BRETT MURDOCK FOR CONGRESS httpstcoec4pGh6mBN amendment",0,1
"Congress has been preparing a backup plan to impeach Hillary before taking office IF she steals the election httpstcoWO2RiiI5xP",0,1
"Thank you Catherine FBI dropping the ball opened up NYPD amp Congress to investigate thank youObama Clinton crime httpstcoLbSJbQXMpJ",0,1
"realDonaldTrump for President HolcombForIN for Governor ToddYoungIN for Senate JimBanks for 3rd District Congress Lets go IN",0,1
"Vote for Frederick John LaVergne for Congress httpstcoz8aIJF0Jv4 NJ 3rd CD httpstcouGLDz4Ioam",0,1
"Reminder we dont have to just stop Trump amp his altright despicables We have to give Hillary the Senate… httpstcoNnRO2JfeQf",0,1
"Worried our new president will be greedy corrupt a liar insane Go check out who is representing you in congress httpstcoSY6yMWYyBW",0,1
"hfessahaie girl I only vote in local government and for congress I dont give a fuck about the president",0,1
"ImVotingBecause  we need a blue congress httpstcoqjQ1kPW067",0,1
"tbh if I were to vote itd be for Trump Mainly because I know The House of Representatives or Congress will allow most of the shit he says",0,1
"IRON EYES For Congress💯✔nThink FreenVote Different nIronEyes4Congress VoteBerniecrats httpstcoJQxbO8aujL… httpstco2Ls3L2A2pd",0,1
"ImVotingBecause HillaryClinton  needs a DEM Senate Congress to bust obstruction VoteAndTakeTwoWithYou PartyOfNoMustGo standUp2GOP",0,1
"Sign the petition Tell Congress Don’t Cut Important School Lunch Programs for Poor Children httpstcow0ZuA7Hy3O",0,1
"Our vote is our power 2 send a message that we r UnitedAgainstHate the senate is CRUCIAL use ur power make a plan httpstcomK6H40MCTw",0,0
"Discussing PanamaPapersInquiriesBill2016nStandingCommitteeOnLawAndJusticenSenate Islamabad n08112016… httpstcolcdWZZF8EN",0,0
"Soo Good Working Madam SassuiPalijo Sahaiba Plz Follow Me httpstcojqRWmJQgdm",0,0
"Senate to Dems Congress will do some work againnnBBCnews msnbc npr wsj cnn HuffPostPol nyt… httpstcoAEh7QPFAJB",0,0
"Greater than FiveThirtyEight wTHIS at 538 on ElectionDaynHillaryClinton 716nTHIS 507nMadamPresident… httpstcoHyl4I54wQ7",0,0
"JUST IN As Saraki’s trial resumes Senate begins probe of CCB httpstco9Unh9qyCGq latest localnews",0,0
"In Australia a proposal to have a national vote on legalising samesex marriage has been defeated by the Senate httpstcoqLYFFvz8sQ",0,0
"Control of Congress up for grabs Tuesday The Senate is up for grabs Tuesday… httpstcoTbjw8nWHvG via WTKR3",0,0
"Allison59798116 In Closing The Comey Sabatoge has or May cause  house and POSSIBLYSENATEIts About PowerLETS TAKEOURCOUNTRYBK😠",0,0
"Polls are OPEN in Maryland amp DCn7am8pmnPOTUS Senate Congress school boards statehood amp more httpstcoEhKaBGFSjx",0,0
"Usually ElectionDay feels like Game7 palms r sweaty thirsty etc I want Senate Red but I have zero emotions re todaynjaynordlinger",0,1
"California State Senate Candidates Nancy Skinner amp Sandré Swanson on Po httpstcotmUVKTiaEn via YouTube nancyskinner14 senate ca",0,0
